repo,label,issue_nr
CANtoolbag,unlabeled,2
CANtoolbag,unlabeled,1
QRWizard,enhancement,11
QRWizard,enhancement,9
QRWizard,enhancement,10
QRWizard,enhancement,8
QRWizard,enhancement,7
beautyboot,documentation,4
beautyboot,documentation,3
beautyboot,enhancement,3
beautyboot,enhancement,2
beautyboot,bug,5
beautyboot,bug,6
color-reader-lamp,unlabeled,2
color-reader-lamp,unlabeled,1
copyprotection-standalones,enhancement,2
copyprotection-standalones,documentation,1
formula-e-doc2db,automated-error,2
formula-e-doc2db,automated-error,10
formula-e-doc2db,bug,19
formula-e-doc2db,data-ingestion,2
formula-e-doc2db,bug,14
formula-e-doc2db,automated-error,13
formula-e-doc2db,classification,2
formula-e-doc2db,enhancement,21
formula-e-doc2db,enhancement,20
formula-e-doc2db,automated-error,18
formula-e-doc2db,automated-error,17
formula-e-doc2db,enhancement,1
formula-e-doc2db,automated-error,11
formula-e-doc2db,automated-error,9
formula-e-doc2db,automated-error,8
formula-e-doc2db,automated-error,4
formula-e-doc2db,automated-error,12
formula1-theme,enhancement,3
formula1-theme,documentation,1
formula1-theme,bug,2
git-issue-reporter,enhancement,11
git-issue-reporter,enhancement,4
git-issue-reporter,bug,19
git-issue-reporter,documentation,18
git-issue-reporter,high-priority,11
github-issue-reporter,api,2
github-issue-reporter,example,2
github-issue-reporter,automated-error,1
github-issue-reporter,postgres,3
github-issue-reporter,example,1
github-issue-reporter,data-ingestion,1
github-issue-reporter,high-priority,2
github-issue-reporter,database,3
github-issue-reporter,automated-error,3
github-issue-reporter,critical,3
github-issue-reporter,example,3
github-issue-reporter,automated-error,2
github-issue-reporter,external-service,2
github-repo-stats,enhancement,3
github-repo-stats,enhancement,5
github-repo-stats,bug,6
github-repo-stats,enhancement,2
github-repo-stats,enhancement,1
github-repo-stats,bug,4
nb2hugo-markdown,bug,2
nb2hugo-markdown,enhancement,1
pixelart,enhancement,4
pixelart,enhancement,3
protogia.github.io,enhancement,2
souads_portfolio,enhancement,9
souads_portfolio,enhancement,10
souads_portfolio,bug,7
