repo,language,bytes
beautyboot,Python,16630
beautyboot,Shell,610
formula-1-plotly-utils,Python,34068
formula1-evaluations,Jupyter Notebook,605134
formula1-theme,CSS,13864
formula1-theme,HTML,10566
formula1-theme,JavaScript,1871
govdata,Jupyter Notebook,94198
govdata,Python,18039
nb2hugo-markdown,Python,13919
wifi-mesh-evaluation,Jupyter Notebook,4138871
wifi-mesh-evaluation,Python,9627
wifi-mesh-evaluation,Shell,503
beautyboot,Python,16630
beautyboot,Shell,610
formula-1-plotly-utils,Python,34068
formula1-evaluations,Jupyter Notebook,605134
formula1-theme,CSS,13864
formula1-theme,HTML,10566
formula1-theme,JavaScript,1871
govdata,Jupyter Notebook,94198
govdata,Python,18039
nb2hugo-markdown,Python,13919
wifi-mesh-evaluation,Jupyter Notebook,4138871
wifi-mesh-evaluation,Python,9627
wifi-mesh-evaluation,Shell,503
